Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.26     0.00    33587     0.00     0.00  std::tuple_element<1u, std::tuple<Drawable*, std::default_delete<Drawable> > >::type& std::get<1u, Drawable*, std::default_delete<Drawable> >(std::tuple<Drawable*, std::default_delete<Drawable> >&)
  0.00      0.26     0.00    29724     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::get() const
  0.00      0.26     0.00    29724     0.00     0.00  std::_Head_base<0u, Drawable*, false>::_M_head(std::_Head_base<0u, Drawable*, false> const&)
  0.00      0.26     0.00    29724     0.00     0.00  std::_Tuple_impl<0u, Drawable*, std::default_delete<Drawable> >::_M_head(std::_Tuple_impl<0u, Drawable*, std::default_delete<Drawable> > const&)
  0.00      0.26     0.00    29724     0.00     0.00  Drawable* const& std::__get_helper<0u, Drawable*, std::default_delete<Drawable> >(std::_Tuple_impl<0u, Drawable*, std::default_delete<Drawable> > const&)
  0.00      0.26     0.00    29724     0.00     0.00  std::tuple_element<0u, std::tuple<Drawable*, std::default_delete<Drawable> > >::type const& std::get<0u, Drawable*, std::default_delete<Drawable> >(std::tuple<Drawable*, std::default_delete<Drawable> > const&)
  0.00      0.26     0.00    18857     0.00     0.00  std::default_delete<Drawable>&& std::forward<std::default_delete<Drawable> >(std::remove_reference<std::default_delete<Drawable> >::type&)
  0.00      0.26     0.00    16921     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::release()
  0.00      0.26     0.00    16437     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::reset(Drawable*)
  0.00      0.26     0.00    16437     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::operator=(std::unique_ptr<Drawable, std::default_delete<Drawable> >&&)
  0.00      0.26     0.00    16437     0.00     0.00  std::remove_reference<std::unique_ptr<Drawable, std::default_delete<Drawable> >&>::type&& std::move<std::unique_ptr<Drawable, std::default_delete<Drawable> >&>(std::unique_ptr<Drawable, std::default_delete<Drawable> >&)
  0.00      0.26     0.00    16437     0.00     0.00  std::enable_if<std::__and_<std::is_move_constructible<Drawable*>, std::is_move_assignable<Drawable*> >::value, void>::type std::swap<Drawable*>(Drawable*&, Drawable*&)
  0.00      0.26     0.00    12803     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::operator->() const
  0.00      0.26     0.00    12074     0.00     0.00  __gnu_cxx::__normal_iterator<std::unique_ptr<Drawable, std::default_delete<Drawable> >*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > >::base() const
  0.00      0.26     0.00    10712     0.00     0.00  __gnu_cxx::__normal_iterator<std::unique_ptr<Drawable, std::default_delete<Drawable> > const*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > >::base() const
  0.00      0.26     0.00    10110     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::pair<int, int> const, bool> >::_M_ptr() const
  0.00      0.26     0.00    10110     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::pair<int, int> const, bool> >::_M_addr() const
  0.00      0.26     0.00    10110     0.00     0.00  std::_Select1st<std::pair<std::pair<int, int> const, bool> >::operator()(std::pair<std::pair<int, int> const, bool> const&) const
  0.00      0.26     0.00    10110     0.00     0.00  std::_Rb_tree_node<std::pair<std::pair<int, int> const, bool> >::_M_valptr() const
  0.00      0.26     0.00     9916     0.00     0.00  std::less<std::pair<int, int> >::operator()(std::pair<int, int> const&, std::pair<int, int> const&) const
  0.00      0.26     0.00     9916     0.00     0.00  bool std::operator< <int, int>(std::pair<int, int> const&, std::pair<int, int> const&)
  0.00      0.26     0.00     8688     0.00     0.00  __gnu_cxx::__normal_iterator<std::unique_ptr<Drawable, std::default_delete<Drawable> >*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > >::operator*() const
  0.00      0.26     0.00     8630     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, bool>, std::_Select1st<std::pair<std::pair<int, int> const, bool> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, bool> > >::_S_key(std::_Rb_tree_node<std::pair<std::pair<int, int> const, bool> > const*)
  0.00      0.26     0.00     8630     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, bool>, std::_Select1st<std::pair<std::pair<int, int> const, bool> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, bool> > >::_S_value(std::_Rb_tree_node<std::pair<std::pair<int, int> const, bool> > const*)
  0.00      0.26     0.00     7959     0.00     0.00  __gnu_cxx::__normal_iterator<std::unique_ptr<Drawable, std::default_delete<Drawable> >*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > >::__normal_iterator(std::unique_ptr<Drawable, std::default_delete<Drawable> >* const&)
  0.00      0.26     0.00     5810     0.00     0.00  std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > >::end()
  0.00      0.26     0.00     5585     0.00     0.00  bool __gnu_cxx::operator!=<std::unique_ptr<Drawable, std::default_delete<Drawable> >*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > >(__gnu_cxx::__normal_iterator<std::unique_ptr<Drawable, std::default_delete<Drawable> >*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > > const&, __gnu_cxx::__normal_iterator<std::unique_ptr<Drawable, std::default_delete<Drawable> >*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > > const&)
  0.00      0.26     0.00     5127     0.00     0.00  bool __gnu_cxx::operator!=<std::unique_ptr<Drawable, std::default_delete<Drawable> > const*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > >(__gnu_cxx::__normal_iterator<std::unique_ptr<Drawable, std::default_delete<Drawable> > const*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > > const&, __gnu_cxx::__normal_iterator<std::unique_ptr<Drawable, std::default_delete<Drawable> > const*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > > const&)
  0.00      0.26     0.00     4344     0.00     0.00  TileEffect::Update(unsigned int, Board&)
  0.00      0.26     0.00     4344     0.00     0.00  Drawable::ShouldDelete() const
  0.00      0.26     0.00     4115     0.00     0.00  __gnu_cxx::__normal_iterator<std::unique_ptr<Drawable, std::default_delete<Drawable> > const*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > >::operator++()
  0.00      0.26     0.00     4115     0.00     0.00  __gnu_cxx::__normal_iterator<std::unique_ptr<Drawable, std::default_delete<Drawable> >*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > >::operator++()
  0.00      0.26     0.00     4115     0.00     0.00  TileEffect::Draw(Window const&, Board const&) const
  0.00      0.26     0.00     4115     0.00     0.00  Window::Draw(Texture const&, Rectangle const*, Rectangle const*, unsigned char, unsigned char, unsigned char, unsigned char) const
  0.00      0.26     0.00     4115     0.00     0.00  __gnu_cxx::__normal_iterator<std::unique_ptr<Drawable, std::default_delete<Drawable> > const*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > >::operator*() const
  0.00      0.26     0.00     3927     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, bool>, std::_Select1st<std::pair<std::pair<int, int> const, bool> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, bool> > >::_S_left(std::_Rb_tree_node_base const*)
  0.00      0.26     0.00     3442     0.00     0.00  Board::At(int, int)
  0.00      0.26     0.00     3382     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::pair<int, int> const, bool> >::_Rb_tree_const_iterator(std::_Rb_tree_node_base const*)
  0.00      0.26     0.00     2689     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, bool>, std::_Select1st<std::pair<std::pair<int, int> const, bool> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, bool> > >::_S_right(std::_Rb_tree_node_base const*)
  0.00      0.26     0.00     2536     0.00     0.00  __gnu_cxx::__normal_iterator<ClickableTile*, std::vector<ClickableTile, std::allocator<ClickableTile> > >::__normal_iterator(ClickableTile* const&)
  0.00      0.26     0.00     2374     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, bool>, std::_Select1st<std::pair<std::pair<int, int> const, bool> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, bool> > >::end() const
  0.00      0.26     0.00     2253     0.00     0.00  __gnu_cxx::__normal_iterator<std::unique_ptr<Drawable, std::default_delete<Drawable> > const*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > >::__normal_iterator(std::unique_ptr<Drawable, std::default_delete<Drawable> > const* const&)
