Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.07     0.00      903     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<Texture, std::default_delete<Texture> > > >::_M_ptr()
  0.00      0.07     0.00      903     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<Texture, std::default_delete<Texture> > > >::_M_addr()
  0.00      0.07     0.00      903     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<Texture, std::default_delete<Texture> > > >::_M_valptr()
  0.00      0.07     0.00      900     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<Texture, std::default_delete<Texture> > > >::_M_v()
  0.00      0.07     0.00      815     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.07     0.00      811     0.00     0.00  ClickableTile::ClickableTile(ClickableTile&&)
  0.00      0.07     0.00      811     0.00     0.00  Drawable::Drawable(Drawable const&)
  0.00      0.07     0.00      811     0.00     0.00  void std::_Destroy<ClickableTile>(ClickableTile*)
  0.00      0.07     0.00      803     0.00     0.00  ScreenWriter::Inst()
  0.00      0.07     0.00      801     0.00     0.00  Game::Inst()
  0.00      0.07     0.00      800     0.00     0.00  ScreenWriter::Write(Font*, SDL_Color, int, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.07     0.00      800     0.00     0.00  ScreenWriter::Write(int, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.07     0.00      800     0.00     0.02  Game::Update(unsigned int)
  0.00      0.07     0.00      800     0.00     0.00  Game::GetWindow()
  0.00      0.07     0.00      800     0.00     0.00  bool __gnu_cxx::operator!=<std::unique_ptr<Drawable, std::default_delete<Drawable> > const*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > >(__gnu_cxx::__normal_iterator<std::unique_ptr<Drawable, std::default_delete<Drawable> > const*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > > const&, __gnu_cxx::__normal_iterator<std::unique_ptr<Drawable, std::default_delete<Drawable> > const*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > > const&)
  0.00      0.07     0.00      800     0.00     0.00  bool __gnu_cxx::operator!=<std::unique_ptr<Drawable, std::default_delete<Drawable> >*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > >(__gnu_cxx::__normal_iterator<std::unique_ptr<Drawable, std::default_delete<Drawable> >*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > > const&, __gnu_cxx::__normal_iterator<std::unique_ptr<Drawable, std::default_delete<Drawable> >*, std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > > > const&)
  0.00      0.07     0.00      800     0.00     0.00  Font::operator _TTF_Font*() const
  0.00      0.07     0.00      800     0.00     0.00  Window::ClearScreen() const
  0.00      0.07     0.00      800     0.00     0.00  Window::Present() const
  0.00      0.07     0.00      800     0.00     0.00  std::vector<ClickableTile, std::allocator<ClickableTile> >::end() const
  0.00      0.07     0.00      800     0.00     0.00  std::vector<ClickableTile, std::allocator<ClickableTile> >::begin() const
